compound_id,molecular_weight,logP,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,logS,dose_mg,particle_size_um,ph_stability,formulation_type,bioavailability_percent
CMPD-0574,355.9,2.41,54.54,1,4,5,2,-4.28,5,47.89,5.57,tablet,47.34
CMPD-0575,471.23,7.22,48.77,5,4,3,5,0,50,32.44,4.81,tablet,1
CMPD-0576,136.78,0.5,67.25,2,2,7,2,-5.81,10,49.4,6.08,tablet,32.97
CMPD-0577,405.92,5.14,33.81,1,4,1,1,-4.07,100,5.12,5.7,tablet,43.56
CMPD-0578,464.8,4.29,138.72,3,3,1,0,-3.07,10,4.11,6.23,tablet,36.09
CMPD-0579,217.36,3.01,55.18,2,2,3,1,-3.77,10,109.81,8.82,solution,54.21
CMPD-0580,505.81,5.67,104.11,1,3,2,3,-4.65,10,30.83,4.54,solution,31.71
CMPD-0581,417.23,3.17,82.33,2,4,5,2,-2.05,200,29.05,4.22,capsule,55.83
CMPD-0582,334.32,3.2,40.54,1,7,0,2,-3.28,10,2.33,8.29,tablet,60.82
CMPD-0583,449.61,2.4,74.79,4,5,4,2,-4.44,25,4.33,7.13,tablet,39.92
CMPD-0584,629.78,4.7,102.44,3,7,4,2,-2.21,10,38.06,7.67,capsule,37.32
CMPD-0585,400.01,4.47,68.41,3,4,3,2,-4.29,5,36.5,6.09,capsule,37.91
CMPD-0586,407.3,1.37,116.76,5,4,2,1,-4.81,10,9.56,7.33,tablet,41.05
CMPD-0587,329.47,0.13,110.75,1,6,5,0,-2.62,100,4.48,6.35,tablet,41.4
CMPD-0588,286.52,2.13,107.16,3,4,5,4,-5.46,10,27.24,7.54,tablet,54.08
CMPD-0589,471.34,1.06,58.91,3,6,3,4,-0.86,100,35.34,7.72,tablet,53.61
CMPD-0590,285.83,2.39,37.21,5,2,2,2,-1.23,10,25.78,7.61,capsule,61.16
CMPD-0591,387.87,4.73,53.52,2,5,6,2,-2.68,50,58.71,5.71,tablet,38.98
CMPD-0592,327.46,1.68,81.87,0,3,2,2,-4.37,25,22.79,6.61,tablet,59.53
CMPD-0593,432.69,2.42,94.1,2,2,7,0,-5.1,100,5.66,5.35,capsule,56.13
CMPD-0594,416.7,2.6,10,4,3,5,2,-7.36,5,6.12,7.16,capsule,41.77
CMPD-0595,494.13,4.03,74.72,1,4,10,0,-1.08,10,17.16,6.91,solution,55.27
CMPD-0596,323.9,-1.54,80.53,4,1,2,2,-4.95,100,22.58,4.59,tablet,4.32
CMPD-0597,350.31,1.41,65.29,2,5,6,1,-2.97,200,15.86,7.05,tablet,46.1
CMPD-0598,272.34,2.88,120.19,1,6,6,2,-3.2,400,40.37,7.02,suspension,49.18
CMPD-0599,331.13,4.66,89.76,2,1,6,3,-6.01,25,25.78,7.18,solution,41.66
CMPD-0600,421.5,1.61,120.86,2,2,4,1,-4.41,200,60.25,6.56,capsule,46.67
CMPD-0601,463.27,-0.88,67.44,2,2,6,3,-5.2,10,27.96,7.18,solution,26.62
CMPD-0602,278.56,3.62,107.81,3,5,6,2,-2.31,25,64.46,6.88,tablet,51.17
CMPD-0603,475.66,1.36,132.23,4,4,2,5,-2.24,5,2.87,5.43,suspension,49.57
CMPD-0604,529.12,0.36,120.91,2,4,3,4,-3.87,100,22.23,7.26,capsule,36.01
CMPD-0605,425.48,1.38,36.78,0,5,3,2,-4.76,5,12.36,5.36,capsule,41.67
CMPD-0606,586.45,2.17,66.12,2,6,6,1,-3.22,25,18.56,5.22,capsule,47.07
CMPD-0607,294.88,1.41,62.92,2,5,2,2,-1.84,50,58,6.75,capsule,69.19
CMPD-0608,243.09,-1.47,92.12,1,4,5,5,-5.72,50,34.16,3.3,capsule,4.13
CMPD-0609,184.34,4.11,99.02,1,2,3,3,-0.33,200,10.6,5.7,tablet,59.1
CMPD-0610,544.56,4.79,45.64,1,6,8,4,-3.87,400,84.08,6.12,capsule,31.39
CMPD-0611,451.98,3.67,77.37,1,2,3,1,-3.68,100,71.72,8.09,solution,47.24
CMPD-0612,373.89,0.45,10,2,4,7,5,-1.1,10,6.83,6.24,tablet,55.5
CMPD-0613,410.8,2.14,125.47,1,4,2,2,-3.58,200,19.96,8.81,solution,56.82
CMPD-0614,256.2,2.49,57.07,2,9,4,3,-3.66,5,124.29,4.71,suspension,52.09
CMPD-0615,649.03,3.58,76.96,4,3,3,2,-4.87,50,80.04,7.07,tablet,31.23
CMPD-0616,394.21,3.7,64.16,4,4,6,2,-4.37,50,6.66,7.28,capsule,53.45
CMPD-0617,392.03,1.18,115.11,2,6,5,0,-4.56,10,34.34,5.4,tablet,36.6
CMPD-0618,459.83,2.65,10,2,1,2,4,-6.15,5,71.97,6.39,tablet,41.92
CMPD-0619,432.91,3.32,74.42,2,6,12,1,-6.62,25,28.64,6.37,capsule,26.89
CMPD-0620,404.63,5.12,71.3,0,5,1,0,-3.85,200,61.65,7.8,tablet,19.25
CMPD-0621,293.05,3.77,59.12,1,6,4,3,-5.57,50,21.44,4.77,tablet,46.22
CMPD-0622,431.86,3.92,135.42,0,4,6,1,-2.52,100,39.42,8.75,capsule,40.93
CMPD-0623,587.02,2.65,43.94,1,3,4,2,-3.83,100,62.42,4.22,capsule,39.23
CMPD-0624,528,5.04,102.01,1,4,7,0,-5.89,25,10.54,7.01,capsule,20.76
CMPD-0625,555.25,3.24,87.47,3,6,5,1,-1.21,10,16.05,5.45,tablet,54.03
CMPD-0626,323.77,0.95,119.15,2,3,4,1,-4.14,10,32.41,7.07,capsule,44.84
CMPD-0627,271.14,5.03,51.65,2,3,7,1,-2.73,200,57.64,5.71,tablet,37.84
CMPD-0628,366.16,3.76,49.35,3,6,7,2,-1.03,50,35.6,8.12,solution,68.7
CMPD-0629,386.13,1.7,113.36,1,4,2,2,-3.55,200,12.94,6.62,capsule,57.28
CMPD-0630,500.36,1.64,89.89,6,1,5,3,-3.48,50,30.38,6,capsule,43.73
CMPD-0631,193.83,3.03,20.93,2,5,3,1,-1.34,50,19.3,5.15,solution,67.21
CMPD-0632,548.25,3.33,56.12,4,1,4,2,-3.94,25,23.2,6.97,capsule,43.62
CMPD-0633,362.62,2.86,88.52,2,4,5,5,-1.89,25,33.67,7.04,tablet,58.08
CMPD-0634,333.04,3.06,104.32,0,5,7,1,-3.61,50,9.21,6.06,tablet,57.57
CMPD-0635,268.67,5.56,51.23,3,6,6,0,-3.24,10,23.81,6.54,capsule,30.73
CMPD-0636,197.97,4.43,10,1,1,3,2,-3.27,5,74.36,6.84,tablet,48.96
CMPD-0637,470.55,2.84,93.31,1,4,6,2,-4.05,50,35.4,7.27,tablet,49.99
CMPD-0638,388.06,4.19,32.29,2,4,3,5,-4.3,10,17.53,5.3,tablet,55.72
CMPD-0639,238.1,0.64,10,1,5,4,4,-4.48,10,102.54,5.95,capsule,47.26
CMPD-0640,237.54,3.22,10,3,3,5,1,-5.44,100,53.28,7.23,capsule,54.71
CMPD-0641,343.06,5.76,103.49,2,2,4,4,-4.17,200,37.43,6.37,capsule,17.74
CMPD-0642,563.59,2.11,79.5,4,5,5,4,-3.9,5,15.8,4.25,tablet,39.66
CMPD-0643,351.44,0.97,67.1,0,7,4,2,-2.89,50,12.96,8.41,capsule,41.65
CMPD-0644,214.65,1.33,123.62,2,3,9,3,-3.64,400,17.22,7.52,tablet,44.77
CMPD-0645,352.97,0.54,97.31,2,5,6,1,-1.88,5,32.22,4.4,solution,34.87
CMPD-0646,350,1.09,131.57,2,3,1,1,-1.95,50,17.91,5.71,capsule,44.04
CMPD-0647,120,1.83,26.25,3,1,5,3,-1.48,400,54.89,8.39,tablet,61.42
CMPD-0648,374.03,-0.03,73.79,3,11,7,2,-3.8,200,11.8,7.05,tablet,20.5
CMPD-0649,354.6,2.53,18.42,0,4,2,3,-4.27,5,83.65,4.77,capsule,45.18
CMPD-0650,456.58,4.12,66.97,2,6,4,1,-5.55,5,23.5,4.15,tablet,35.02
CMPD-0651,583.39,0.87,66.3,2,3,4,3,-1.54,10,25.13,4.38,tablet,36.03
CMPD-0652,503.92,5.23,96.93,3,4,2,4,-5.23,400,30.33,5.91,suspension,26.15
CMPD-0653,350.42,3.42,76.59,3,8,4,3,-4.85,5,43.9,7.3,tablet,46.47
CMPD-0654,258.28,4.36,96.82,1,5,6,1,-3.16,5,4.4,4.66,capsule,57.15
CMPD-0655,663.07,1.32,99.62,1,2,3,1,-3.96,200,53.23,7.18,capsule,41.74
CMPD-0656,386.51,4.04,150.42,2,7,4,3,-1.33,400,32.48,5.45,solution,62.21
CMPD-0657,381.53,0.53,63.96,1,4,2,3,-4.65,50,31.14,4.27,tablet,33.73
CMPD-0658,377.35,4.1,42.06,2,1,6,1,-3.46,10,50.52,6.08,tablet,44.63
CMPD-0659,401.79,2.81,83.61,5,10,3,3,-6.28,5,40.81,8.87,capsule,37.09
CMPD-0660,364.12,3.5,46.92,4,5,4,1,-1.65,10,41.61,8.11,tablet,53.82
CMPD-0661,316.9,0.38,126.87,3,2,4,2,-6.01,10,12.92,5.9,capsule,33.25
CMPD-0662,319.85,0.89,65.09,4,3,4,1,0,25,3.24,6.75,capsule,60.17
CMPD-0663,376.4,3.58,55.2,0,2,4,0,-3.68,50,23.48,5.8,tablet,53.64
CMPD-0664,320.22,0.79,58.5,0,2,6,3,-3.93,25,42.15,4.14,capsule,42.34
CMPD-0665,301.59,3.33,100.14,0,2,4,2,-3.55,10,10.13,5.77,solution,60.64
CMPD-0666,391.71,0.04,69.48,1,5,7,5,-5.11,200,34.73,7.27,tablet,22.79
CMPD-0667,351.95,4.03,52.54,2,5,4,0,-2.51,200,9.24,5.09,tablet,44.27
CMPD-0668,545.44,0.28,133.29,1,7,3,3,-4.11,5,35.13,7.79,capsule,29.09
CMPD-0669,120,3.49,45.03,1,5,2,3,-3.97,400,25.64,7.84,suspension,51.22
CMPD-0670,500.07,3.63,76.24,0,4,4,5,-1.57,50,141.03,5.96,capsule,47.47
CMPD-0671,517.07,1.25,97.83,3,5,3,2,-6.08,100,13.02,6.63,solution,50.52
CMPD-0672,151.93,3.55,17.9,3,3,1,1,-3.79,50,17.92,8.06,suspension,62.25
CMPD-0673,342.3,2.97,91.81,2,4,4,2,-3.66,25,30.89,6.94,capsule,59.02
CMPD-0674,339.14,1.53,38.07,2,4,5,5,-3.29,400,23.18,8.25,suspension,61
CMPD-0675,225.17,0.68,103.8,1,6,5,2,-4.33,50,34.69,4.39,tablet,49.24
CMPD-0676,294.44,-1.03,41.31,0,2,4,1,-3.98,5,30.63,5.8,capsule,24.25
CMPD-0677,257.84,3.13,99.25,1,4,3,4,-0.73,50,15.65,6.11,suspension,69.43
CMPD-0678,572.75,-0.32,113.7,0,4,3,3,-2.75,100,29.01,7.99,capsule,23.83
CMPD-0679,482.92,2.67,105.15,4,4,6,3,-4.67,200,24.63,6.5,capsule,35.94
CMPD-0680,519.87,2.03,83.8,2,5,1,1,-2.52,400,27.85,5.61,suspension,42.84
CMPD-0681,459.38,3.72,66.9,1,2,5,1,-3.43,25,30.83,6.37,tablet,43.64
CMPD-0682,255.8,1.96,54.83,5,6,4,0,-2.39,25,23.08,7.12,tablet,52.4
CMPD-0683,322.3,1.91,126.49,1,3,6,2,-3.81,10,2.42,6.12,solution,61.66
CMPD-0684,433.83,3.82,50.52,2,3,6,2,-4.71,400,50.24,7.51,tablet,33.23
CMPD-0685,245.57,3.1,38.7,3,1,8,2,-6,25,6.22,6.64,capsule,44.51
CMPD-0686,458.43,3.07,98.29,1,3,4,3,-1.77,100,60.26,6.14,tablet,41.77
CMPD-0687,353.56,3.34,47.14,1,3,1,4,-2.47,100,18.48,7.91,capsule,57.55
CMPD-0688,338.77,-0.26,41.75,2,3,7,1,-2.96,200,30.86,8.23,capsule,34.15
CMPD-0689,458.21,3.86,24.47,1,5,9,5,-2.53,25,6.79,7.9,tablet,51.05
CMPD-0690,428.87,3.6,58.1,1,5,2,3,-1.64,200,27.42,5.53,tablet,53.65
CMPD-0691,340.29,0.67,72.1,2,9,5,2,-6.02,50,48.57,7.93,tablet,30.53
CMPD-0692,507.53,2.06,83.51,0,6,6,2,-3.37,100,7.78,7.7,solution,57.63
CMPD-0693,261.08,2.43,108.3,3,3,2,1,-6.22,25,2.37,5.13,tablet,53.45
CMPD-0694,447.75,2.26,93.44,1,6,10,2,-4.09,25,10.48,6.1,tablet,43.9
CMPD-0695,445.24,3.1,68.32,1,4,5,1,-3.01,50,16.49,7.99,tablet,52.48
CMPD-0696,345.95,5.08,68.06,1,3,2,2,-4.03,200,10.49,7.65,capsule,29.31
CMPD-0697,415.87,4.45,92.86,3,4,5,2,-0.86,400,46.77,5.87,capsule,46.38
CMPD-0698,242.38,0.14,119.54,3,10,7,2,-3.94,25,20.06,5.19,solution,35.76
CMPD-0699,481.64,3.62,79.42,1,3,5,1,-4.66,5,11.23,8.06,tablet,41.43
CMPD-0700,359.66,4.89,58.58,2,4,5,1,-3.45,10,21.42,7.18,solution,39.63
CMPD-0701,322.5,3.2,40.25,2,3,3,3,-5.05,100,21.84,6.54,solution,62.84
CMPD-0702,495.39,4.46,24.42,2,7,7,1,-4.81,50,28.5,5.54,tablet,26.84
CMPD-0703,302.52,6.12,98.32,1,4,2,2,-2.1,50,19.54,7.36,tablet,25.91
CMPD-0704,225.07,4.34,95.23,2,5,11,1,-2.01,10,12.01,5.26,tablet,55.91
CMPD-0705,208.77,2.95,95.21,2,4,6,1,-3.26,5,18.41,5.41,tablet,60.92
CMPD-0706,446.66,4.38,70.5,0,3,5,3,-2.58,10,20.46,6.98,capsule,49.29
CMPD-0707,239.15,2.76,124.24,3,1,6,4,-0.37,25,24.6,7.69,tablet,66
CMPD-0708,573.03,2.54,58.06,1,4,4,1,-3.59,400,47.46,6.67,capsule,43.37
CMPD-0709,150.99,1.87,108.43,4,1,4,1,-4.8,200,37.06,6.07,tablet,38.11
CMPD-0710,566.61,5.31,73.64,3,3,5,2,-2.7,50,76.28,7.56,capsule,24.75
CMPD-0711,403.21,1.03,53.71,4,8,5,1,-2.25,200,40.02,5.11,tablet,39.67
CMPD-0712,369.36,5.26,95.74,3,3,1,2,-2.1,200,47.1,5.36,solution,32.07
CMPD-0713,320.06,3.4,89.34,0,6,7,5,-1.78,200,20.54,7.8,capsule,47.18
CMPD-0714,423.9,-0.02,87.49,2,5,9,1,-2.01,400,5.8,5.08,capsule,30.16
CMPD-0715,375.86,3.16,77.84,2,7,6,0,-2.72,200,62.35,4.36,capsule,54.31
CMPD-0716,501.36,-1.28,73.67,1,3,6,1,-2.55,25,10.56,5.32,solution,18.15
CMPD-0717,392.57,3.63,158.59,1,3,3,3,-2.88,400,14.91,7.81,capsule,45.75
CMPD-0718,396.53,4.09,116.45,1,9,6,1,-5.88,50,22.03,7.57,tablet,32.32
CMPD-0719,340,1.43,100.3,4,3,8,1,-6.08,200,4.25,4.74,capsule,30.96
CMPD-0720,373.74,2.72,78.91,1,5,8,2,-5.08,50,53.9,5.52,capsule,43.56
CMPD-0721,413.86,6.02,110.25,2,5,8,1,-2.27,400,39.99,4.71,tablet,17.04
CMPD-0722,191.88,1.59,93.13,0,10,6,2,-4.16,200,26.65,7.26,capsule,57.76
CMPD-0723,231.7,0.59,75.92,1,5,4,3,-3.3,25,65.26,5.03,tablet,50.38
CMPD-0724,461.76,5.17,64.38,4,8,3,3,-1.16,10,15.39,7.04,capsule,40.16
CMPD-0725,398.8,6.03,72.17,0,10,5,0,-1.87,200,24.56,6.25,capsule,28.99
CMPD-0726,359.76,2.51,10,2,2,5,2,-6.76,100,25.26,6.61,capsule,43.4
CMPD-0727,382.03,4.32,82.37,0,1,3,3,-2.4,100,41.74,4.49,capsule,66.48
CMPD-0728,418.23,4.91,57.9,3,7,4,3,-3.42,10,22.93,7.57,tablet,21.21
CMPD-0729,320.63,1.16,130.74,2,2,6,3,-4.48,5,33.51,8.36,tablet,40.78
CMPD-0730,294.39,1.63,75.68,2,2,4,0,-3.99,400,67.03,8.28,tablet,27.31
CMPD-0731,401.54,4.72,33.39,2,3,6,2,-3.97,10,18.05,6.58,suspension,47.65
CMPD-0732,272.38,5.53,73.25,1,3,3,5,-5.47,10,19.63,4.04,tablet,16.57
CMPD-0733,424.91,3.51,38.39,2,4,3,3,-3.13,10,40.96,6.07,tablet,46.53
CMPD-0734,192.72,0.92,91.57,2,2,4,0,-0.24,100,8.48,6.82,capsule,69.6
CMPD-0735,493.21,6.08,85.18,3,6,5,0,-1.98,50,20.09,6.66,tablet,12.12
CMPD-0736,431.99,1.54,108.52,3,3,3,3,-6.54,5,4.71,4.65,capsule,41.83
CMPD-0737,408.16,1.9,47.32,1,4,9,1,-3.06,400,58.74,7.35,solution,54.63
CMPD-0738,488.1,3.12,76.19,3,6,3,1,-3.06,5,53.88,7.43,tablet,41.85
CMPD-0739,563.2,5.3,27.22,3,3,4,0,-4.99,5,31.47,7.43,capsule,28.43
CMPD-0740,491.58,4.04,99.55,4,7,5,1,-5.32,25,17.77,5.64,tablet,31.62
CMPD-0741,177.5,3.25,93.16,0,2,1,2,-2.15,200,18.47,4.76,solution,70.44
CMPD-0742,239.25,3.33,92.35,1,3,2,0,-3.34,10,14.17,5.91,solution,61.74
CMPD-0743,311.27,2.58,75.06,0,6,5,2,-4.22,50,16.4,7.91,tablet,53.67
CMPD-0744,382.87,3.5,89.52,1,2,6,0,-2.6,50,8.57,5.34,tablet,50.46
CMPD-0745,436.94,-2,131.15,0,8,3,2,-0.32,25,45.54,5.46,solution,9.82
CMPD-0746,300.17,1.97,65.02,2,4,5,2,-3.11,100,108.35,5.23,suspension,54.94
CMPD-0747,400.54,2.93,79.85,5,4,5,1,-3.06,25,26.47,6,tablet,52.62
CMPD-0748,296.91,0.43,36.99,0,3,6,0,-3.53,25,27.99,7,capsule,47.75
CMPD-0749,312.73,3.2,44.61,6,4,1,2,-4.09,10,27.85,7.31,suspension,64.71
CMPD-0750,225.27,2.13,78.42,0,5,6,2,-2.27,100,9.02,4.99,capsule,60.52
CMPD-0751,278.44,5.66,113.64,4,9,5,0,-3.79,200,21.54,7.71,solution,25.43
CMPD-0752,231.31,5.33,66.03,2,2,7,3,-2.75,200,16.04,7.88,tablet,37.09
CMPD-0753,272.65,1.66,66.74,3,2,2,2,-1.25,25,9.4,6.16,tablet,58.77
CMPD-0754,495.9,2.23,60.76,1,1,2,1,-2.38,200,75.3,4.84,tablet,51.81
CMPD-0755,275.57,2.37,56.28,4,6,3,2,-5.41,50,41.28,8.01,tablet,50.07
CMPD-0756,669.56,1.69,85.32,2,5,2,3,-5.5,10,19.06,6.95,solution,35.84
CMPD-0757,434.26,2.85,22.6,1,1,4,2,-1.62,200,18.93,8.78,tablet,64.62
CMPD-0758,400.33,1.14,119.83,0,5,3,5,-3.67,100,48.84,4.77,tablet,35.57
CMPD-0759,285.58,0.46,51.71,3,4,5,1,-3.11,50,5.04,6.85,solution,45.29
CMPD-0760,457.03,3.62,100.27,4,1,5,1,-4.69,5,23.49,8.26,solution,41.58
CMPD-0761,316.68,3.63,30.55,2,2,5,2,-2.58,10,51.32,7.06,capsule,61.8
CMPD-0762,393.42,1.05,98.41,4,6,7,2,-0.67,50,35.82,3.88,tablet,62.1
CMPD-0763,661.61,4.11,98.52,3,6,4,3,-3.27,25,18.68,3.99,tablet,24.28
CMPD-0764,369.43,1.36,88.45,2,3,4,0,-2.53,25,2.49,8.66,capsule,54.5
CMPD-0765,506.42,2.96,40.2,5,5,3,1,-1.63,10,24.87,5.76,capsule,59.96
CMPD-0766,302.65,3.98,83.73,1,6,6,2,-0.98,100,5.79,7.07,tablet,60.24
CMPD-0767,376.15,2.44,33.59,2,1,4,0,-4.52,400,16.59,4.94,tablet,47.43
CMPD-0768,574.79,3.32,66.15,2,6,5,3,-2.88,25,16.87,5.82,tablet,50.71
CMPD-0769,311.03,1.57,111.03,1,5,5,4,-1.59,50,7.25,7.64,tablet,54.95
CMPD-0770,579.37,2.15,102.88,0,8,7,3,-1.17,5,21.44,6.84,tablet,51.73
CMPD-0771,457.85,2.13,75.53,3,7,3,4,-4.14,100,22.04,5.96,capsule,41.37
CMPD-0772,318.13,1.16,40.88,3,5,7,3,-4.51,400,67.2,7.46,tablet,47.48
CMPD-0773,449.56,2.18,97.6,3,3,3,2,-3.73,10,62.71,6.43,tablet,49.47
CMPD-0774,486.98,-0.29,75.68,2,1,6,1,-3.98,25,8.16,7.7,tablet,25.13
CMPD-0775,448.4,1.62,10,3,6,6,1,-3.92,100,69.85,5.98,capsule,48.84
CMPD-0776,207.28,1.99,102.39,3,3,3,0,-2.88,5,29.38,6.85,capsule,57.82
CMPD-0777,300.01,2.04,74.15,0,1,5,1,-4.31,100,15.37,8.9,solution,65.66
CMPD-0778,352.77,2.07,117.09,1,5,4,1,-1.16,100,17.31,6.69,tablet,64.76
CMPD-0779,371.81,2.39,36.67,4,2,7,0,-4.11,10,16.72,7.33,tablet,54.02
CMPD-0780,448.27,3.36,10,1,6,6,2,-4.4,400,26.32,4.4,solution,48.29
CMPD-0781,399.55,4.07,84.77,2,2,4,4,-5.25,5,21.1,6.68,tablet,31.32
CMPD-0782,233.11,1.33,85.2,3,4,3,2,-1.61,5,4.57,6.75,tablet,63.2
CMPD-0783,421.82,0.33,15.83,1,2,4,3,-5.44,100,28.57,5.05,tablet,33.58
CMPD-0784,447.16,0.62,40.75,1,3,3,3,-2.81,25,13.03,6.18,tablet,55.52
CMPD-0785,441.58,1.62,171.43,4,2,10,1,-2.46,100,10.77,6.15,capsule,34.1
CMPD-0786,498.89,1.87,64.3,5,3,4,3,-7.87,50,37.41,5.17,tablet,24.79
CMPD-0787,471.73,1.11,100.58,1,1,1,0,-5.46,25,13.73,5.89,tablet,41.71
CMPD-0788,430.51,0.17,52.23,1,5,3,2,-4.07,10,74.67,9,capsule,35.05
CMPD-0789,372.28,1.68,10,5,1,4,1,-0.66,5,46.17,6.53,capsule,69.41
CMPD-0790,197.29,2.83,69.04,0,5,4,3,-4.07,200,29.57,6.87,tablet,62.26
CMPD-0791,427.26,3.57,65.7,2,4,4,2,-4.26,25,52.59,8.76,tablet,44.37
CMPD-0792,402.85,1.5,61,1,4,5,1,-4.62,10,47.86,3.51,capsule,50.37
CMPD-0793,409.87,1.76,70.99,2,2,5,1,-4.65,100,17.99,9,solution,43.73
CMPD-0794,239.56,0.83,84.25,2,5,7,3,-4.45,10,7.19,7.39,tablet,41.29
CMPD-0795,261.08,2.44,69.75,1,3,5,2,-4.51,50,13.23,5.02,suspension,62.15
CMPD-0796,495.85,0.97,30.76,3,5,11,2,-4.57,200,14.69,5.01,tablet,35.23
CMPD-0797,375.65,3.53,92.02,3,2,4,5,-4.57,10,18.66,7.46,capsule,56.33
CMPD-0798,454.97,-0.71,10,3,8,3,2,-4.07,200,11.28,7.43,capsule,14.35
CMPD-0799,383.12,1.85,10,1,7,4,2,-2.07,200,8.31,7.02,tablet,66.16
CMPD-0800,383.27,3.04,100.87,0,6,0,0,-5.18,25,12.14,5.36,capsule,47.61
CMPD-0801,483.21,2.83,92.75,2,9,6,2,-4.47,400,64.89,6.78,capsule,41.8
CMPD-0802,323.24,7.35,72.99,1,4,7,2,-4.28,5,15.92,5.73,solution,1
CMPD-0803,390.57,3.13,26.16,4,4,1,1,-3.5,25,72.27,6.17,capsule,54.25
CMPD-0804,329.15,0.69,50.22,4,5,5,0,-4.64,25,1.6,5.32,tablet,45.28
CMPD-0805,332.21,2.33,65.8,1,9,6,3,-0.39,5,51.54,5.69,tablet,66.45
CMPD-0806,345.99,-0.7,19.14,0,2,4,1,-2.63,50,9.77,3.98,tablet,33.88
CMPD-0807,404.43,2.35,49.13,2,1,3,0,-2.04,25,56.02,8.3,capsule,65.53
CMPD-0808,327.34,1,97.83,2,3,3,2,-3.14,5,101.94,5.49,capsule,50.64
CMPD-0809,518.13,4.15,124.96,4,5,3,1,-1.39,5,23.72,8.15,suspension,42.79
CMPD-0810,281.59,1.51,60.32,1,4,4,3,-5.21,25,12.26,5.95,tablet,51.99
CMPD-0811,359.44,2.29,101.48,1,3,6,4,-4.34,200,77.4,5.79,tablet,52.19
CMPD-0812,331.63,1.36,10,2,4,3,5,-4.72,5,9.02,4,tablet,62.37
CMPD-0813,539.17,5.63,98.08,6,1,4,1,-3.76,200,58.08,8.79,tablet,12.48
CMPD-0814,401.62,1.92,46.86,1,2,6,5,-1.12,100,17.59,7.76,tablet,55.74
CMPD-0815,493.5,5.8,85.76,0,2,5,1,-0.2,25,16.79,5.36,capsule,34.02
CMPD-0816,216.59,3.97,66.33,1,5,7,0,-2.07,200,43.32,7.6,tablet,63.09
CMPD-0817,409.38,3.37,121.21,1,3,5,3,-3.65,50,39.51,7.78,suspension,46.69
CMPD-0818,477.86,3.16,44.39,0,10,1,1,-1.82,100,8.23,6.74,suspension,53.65
CMPD-0819,389.05,3.21,96.97,1,4,8,1,-1.28,400,15.51,6.71,tablet,58.11
CMPD-0820,497.2,-0.97,65.22,1,4,6,2,-1.74,50,66.22,6.48,solution,27.35
CMPD-0821,323.1,2,69.46,4,4,4,4,-3.7,200,41.75,5.56,tablet,49.75
CMPD-0822,535.03,4.02,68.57,6,4,10,0,-3.66,400,44.01,6.02,tablet,27.91
CMPD-0823,632.88,2.41,45.4,1,4,3,0,-4.49,25,90.74,5.34,tablet,39.51
CMPD-0824,340.09,-0.03,74.51,1,4,5,3,-3.87,10,11.64,7.74,tablet,31.95
CMPD-0825,330.99,2.41,72.81,1,6,6,1,-4.7,5,12.43,8.49,capsule,53.37
CMPD-0826,539.87,5.57,83.44,2,1,5,3,-3.6,100,19.87,6.94,tablet,25.48
CMPD-0827,553.75,4.74,77.96,0,5,7,2,-3.53,25,33.86,5.87,solution,38.76
CMPD-0828,322.49,2.39,102.93,5,2,6,2,-4.8,5,104.45,5.97,solution,58
CMPD-0829,333.78,4.21,107.32,2,6,3,2,0,200,10.22,6.93,tablet,55.16
CMPD-0830,349,1.84,38.23,2,6,8,1,-3.06,10,21.64,7.17,tablet,59.24
CMPD-0831,232.11,-0.57,105.41,1,2,6,5,-1.56,50,21.02,6.67,tablet,32.01
CMPD-0832,278.95,0.84,33.48,1,5,7,0,-1.7,25,48.94,5.64,capsule,56.16
CMPD-0833,269.54,5.31,95.57,1,4,6,1,-0.59,25,13.65,7.91,tablet,43.26
CMPD-0834,295.54,2.01,96.69,6,2,4,2,-4.86,200,24.3,6.65,tablet,44.16
CMPD-0835,376.18,2.06,10,2,5,6,3,-4.32,10,66.31,7.05,capsule,46.12
CMPD-0836,405.76,1.96,78.25,1,4,6,4,-6.22,400,31.31,3.97,solution,53.84
CMPD-0837,550.56,5.93,58.6,0,4,4,2,-5.93,50,28.94,6.24,tablet,8.28
CMPD-0838,270.18,5.43,48.44,4,4,3,0,-5.01,25,73.16,7.35,capsule,12.34
CMPD-0839,488.28,6.49,122.28,0,4,6,1,-3.73,200,15.18,5.02,tablet,1
CMPD-0840,356.46,2.21,52.12,4,4,2,0,-3.64,400,56.95,4.4,capsule,58.2
CMPD-0841,374.56,3.03,46.78,1,3,7,5,0,5,51.52,7.86,tablet,72.49
CMPD-0842,454.23,-0.23,77.65,3,3,6,1,-2.75,200,17.67,6.65,solution,38.68
CMPD-0843,256.5,5.16,99,2,4,2,3,-2.04,10,49.23,6.74,suspension,47.25
CMPD-0844,422.07,0.4,70.04,2,3,6,1,-3.29,400,22.96,6.98,capsule,46.94
CMPD-0845,398.31,2.89,115.82,3,4,3,3,-5.47,25,13.23,6.81,suspension,48
CMPD-0846,434.17,0.52,93.58,1,2,5,2,-3.05,200,18.71,2.93,tablet,44.84
CMPD-0847,411.81,1.44,10,1,6,6,2,-5.92,400,46.23,6.01,capsule,37.32
CMPD-0848,650.08,0.99,56.47,1,3,3,3,-3.77,50,27.07,6.33,capsule,35.91
