compound_id,molecular_weight,logP,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,logS,dose_mg,particle_size_um,ph_stability,formulation_type
NEW-0302,288.81,-1.12,109.52,5,2,4,2,-5.21,5,4.88,7.01,capsule
NEW-0303,307.49,0.84,58.35,1,6,6,0,-3.02,25,13.32,6.08,tablet
NEW-0304,447.22,2.8,83.22,2,1,7,1,-4.92,50,10.9,4.25,capsule
NEW-0305,364.16,0.12,52.93,2,9,6,3,-5.82,5,9.32,5.95,capsule
NEW-0306,524.83,4.78,93.13,2,4,3,3,-6.54,25,32.68,8.9,tablet
NEW-0307,302.52,3.39,108.53,2,3,4,2,-0.38,400,32.25,7.15,tablet
NEW-0308,462.57,1.57,32.66,1,6,3,1,-5.96,25,11.48,6.16,capsule
NEW-0309,417.69,2.1,46.53,1,7,3,3,-2.69,200,28.22,5.52,capsule
NEW-0310,366.09,5.85,16.77,1,4,0,2,-1.06,25,21.47,6.41,capsule
NEW-0311,509.35,4.18,83.17,1,5,1,4,-2.43,200,54.31,7.02,suspension
NEW-0312,454.81,3.18,16.72,3,5,5,1,-2.52,5,31.06,7.18,tablet
NEW-0313,269.45,-0.05,62.19,2,5,2,2,-4.59,100,42.39,6.35,solution
NEW-0314,450.42,5.43,93.19,2,7,3,2,-5.25,50,32.7,7.79,tablet
NEW-0315,531.25,4.39,147.03,3,10,3,1,-1.97,400,16.0,5.17,tablet
NEW-0316,365.65,2.23,87.89,1,4,5,3,-3.34,400,22.49,5.5,tablet
NEW-0317,352.65,1.51,118.85,3,1,2,1,-2.88,200,12.06,6.86,capsule
NEW-0318,306.34,2.16,84.07,2,6,10,3,-4.02,10,22.05,4.62,solution
NEW-0319,378.5,0.34,85.82,0,2,3,2,-3.33,25,22.98,4.85,suspension
NEW-0320,455.48,1.65,67.62,4,5,6,1,-1.08,50,35.46,7.56,tablet
NEW-0321,290.06,3.87,61.59,1,5,7,2,-6.0,50,8.8,6.79,capsule
NEW-0322,231.9,-0.75,116.1,3,1,4,2,-1.63,50,34.1,5.99,capsule
NEW-0323,338.67,1.93,88.11,1,4,4,2,-3.43,5,13.6,5.75,capsule
NEW-0324,228.23,2.7,86.77,1,4,3,1,-1.2,200,18.36,5.35,tablet
NEW-0325,437.55,2.69,53.71,2,5,7,3,-2.22,25,39.01,5.19,tablet
NEW-0326,333.06,0.38,62.92,3,4,3,4,-4.32,5,31.92,4.53,tablet
NEW-0327,186.91,0.37,147.36,3,2,9,1,-1.44,10,28.74,5.65,capsule
NEW-0328,341.65,4.46,72.64,3,2,6,2,-1.86,10,11.8,8.0,tablet
NEW-0329,358.81,0.3,121.42,2,1,6,3,-3.81,10,41.42,6.66,tablet
NEW-0330,429.4,4.32,56.79,4,3,3,3,-5.3,25,38.17,5.54,capsule
NEW-0331,364.01,1.63,103.05,0,4,8,0,-4.32,100,24.95,5.84,suspension
NEW-0332,585.56,4.44,85.14,3,4,0,2,-3.26,200,54.78,6.82,solution
NEW-0333,322.94,1.74,60.87,4,1,5,1,-4.27,10,20.19,6.43,solution
NEW-0334,373.14,0.4,97.7,0,7,9,0,-1.65,25,18.22,6.57,tablet
NEW-0335,368.68,4.04,20.98,1,2,4,2,-3.95,200,10.36,3.37,tablet
NEW-0336,348.91,2.47,95.11,3,4,5,2,-0.42,50,46.3,7.89,capsule
NEW-0337,395.67,5.11,102.54,1,5,5,1,-1.27,100,46.59,6.74,solution
NEW-0338,439.54,4.11,84.56,4,6,6,3,-1.26,400,6.83,6.59,suspension
NEW-0339,527.41,2.09,120.88,2,9,6,1,-2.85,5,58.8,7.95,solution
NEW-0340,207.38,1.69,72.62,3,3,2,2,-2.26,50,97.6,5.03,tablet
NEW-0341,323.86,2.54,69.78,2,10,0,0,-2.43,100,1.55,5.42,solution
NEW-0342,330.75,2.84,87.43,2,3,6,4,-4.54,5,13.79,8.15,capsule
NEW-0343,483.16,0.91,105.37,1,5,3,1,-1.79,400,10.38,5.94,tablet
NEW-0344,340.77,4.02,94.94,4,3,4,1,-1.82,400,26.7,5.72,capsule
NEW-0345,171.53,1.78,67.07,0,3,3,3,-0.02,100,29.7,5.54,capsule
NEW-0346,389.65,1.74,40.17,4,4,7,4,-2.74,10,4.93,5.35,solution
NEW-0347,376.29,1.53,98.22,1,7,5,1,-2.74,400,35.61,6.74,capsule
NEW-0348,399.77,2.92,47.37,0,2,5,4,-2.34,5,11.28,7.95,capsule
NEW-0349,265.58,1.25,46.36,6,4,9,2,-6.49,200,10.45,5.95,suspension
NEW-0350,569.09,2.74,52.09,1,5,9,1,-2.78,50,47.08,6.9,tablet
NEW-0351,344.38,7.48,77.02,1,8,8,1,-2.95,100,19.98,6.84,tablet
NEW-0352,359.29,2.4,47.13,1,4,5,0,-4.23,25,6.55,6.57,tablet
NEW-0353,281.0,1.72,35.25,2,4,8,1,-3.89,50,14.9,7.48,solution
NEW-0354,277.59,-0.5,51.94,2,2,4,1,-5.88,400,5.8,7.68,tablet
NEW-0355,245.5,2.59,68.58,4,6,5,3,-6.56,100,21.63,8.07,tablet
NEW-0356,336.74,0.5,90.9,4,9,5,0,-3.71,400,32.59,7.53,solution
NEW-0357,274.67,1.82,77.35,3,3,4,1,-1.24,400,21.13,8.67,suspension
NEW-0358,606.21,2.77,37.18,1,5,5,5,-4.99,200,19.2,4.77,tablet
NEW-0359,172.27,-0.62,83.0,1,4,1,3,-2.07,5,45.01,6.22,tablet
NEW-0360,255.88,2.78,86.3,4,3,2,1,-3.78,100,11.55,5.69,tablet
NEW-0361,335.84,3.05,59.08,5,5,6,4,-3.45,50,4.96,5.51,solution
NEW-0362,454.08,0.17,47.13,3,5,6,4,-2.35,200,77.48,6.99,tablet
NEW-0363,334.49,1.79,47.12,0,2,4,1,-4.0,200,4.23,6.55,tablet
NEW-0364,454.36,-0.8,56.39,4,2,3,3,-3.81,10,14.91,9.0,tablet
NEW-0365,271.45,5.34,152.5,0,3,4,2,-5.01,25,36.84,5.2,capsule
NEW-0366,386.52,3.1,43.88,2,4,7,0,-2.2,25,22.49,4.03,tablet
NEW-0367,571.84,2.18,84.31,1,4,0,3,-2.94,400,26.86,8.18,solution
NEW-0368,273.55,2.21,50.01,0,8,7,3,-1.04,400,49.84,7.51,tablet
NEW-0369,426.15,4.54,57.29,2,5,6,2,-4.05,25,24.29,6.01,tablet
NEW-0370,402.76,2.33,50.29,3,1,3,5,-1.74,10,7.75,5.86,solution
NEW-0371,132.33,3.1,103.04,0,4,7,3,-4.57,25,48.28,5.56,tablet
NEW-0372,315.21,5.23,88.27,1,0,5,3,-0.39,200,78.39,7.44,capsule
NEW-0373,504.43,1.88,70.47,4,3,9,0,-3.67,10,27.36,9.0,solution
NEW-0374,394.86,0.53,92.6,2,8,5,1,-3.62,200,26.96,6.46,capsule
NEW-0375,246.65,1.02,101.02,4,2,3,5,-2.96,5,22.8,4.83,capsule
NEW-0376,455.99,5.07,45.22,2,4,9,4,-0.6,25,17.34,5.65,capsule
NEW-0377,327.3,2.66,94.15,2,4,3,0,-2.05,5,39.53,4.96,capsule
NEW-0378,419.61,1.6,49.88,2,4,5,0,-1.48,400,12.89,6.05,suspension
NEW-0379,421.46,4.25,104.33,2,3,3,5,-2.03,10,9.97,5.01,tablet
NEW-0380,256.94,4.3,100.91,3,9,8,4,-2.2,10,11.61,6.77,solution
NEW-0381,466.88,1.64,89.13,2,5,4,0,-3.25,200,48.89,7.92,capsule
NEW-0382,269.17,0.75,67.65,4,5,7,1,-4.46,25,15.59,5.98,solution
NEW-0383,236.36,-0.33,56.59,5,3,7,3,-1.39,50,4.46,5.63,tablet
NEW-0384,282.89,-0.73,65.77,4,8,7,3,-2.35,5,19.14,7.24,tablet
NEW-0385,341.93,2.02,101.92,2,6,1,1,-3.74,400,21.48,5.4,tablet
NEW-0386,392.03,0.89,51.12,0,6,8,2,-4.82,200,76.69,5.15,tablet
NEW-0387,295.02,5.85,76.74,0,0,8,1,-6.26,200,36.52,5.98,tablet
NEW-0388,461.93,2.61,13.83,1,3,4,4,-5.08,10,54.49,6.63,tablet
NEW-0389,407.66,-1.0,84.11,6,3,2,1,-4.87,50,25.88,7.01,suspension
NEW-0390,303.57,5.05,38.76,1,7,4,2,-3.42,400,21.51,7.4,capsule
NEW-0391,477.79,2.79,28.87,1,3,7,3,-5.44,10,51.67,7.26,tablet
NEW-0392,507.72,3.77,93.16,1,7,2,4,-4.96,50,72.17,8.3,capsule
NEW-0393,369.14,3.73,82.36,2,2,4,4,-3.32,400,28.05,8.06,suspension
NEW-0394,356.35,3.03,59.48,0,7,2,1,-2.44,400,29.55,7.45,solution
NEW-0395,184.89,3.44,64.43,1,7,6,3,-6.66,400,39.59,8.25,tablet
NEW-0396,335.17,2.93,154.49,1,2,1,3,-4.63,50,12.91,3.28,tablet
NEW-0397,347.93,0.51,68.2,3,5,4,2,-4.88,25,6.47,6.3,capsule
NEW-0398,406.99,3.16,67.96,1,2,4,5,-3.53,50,11.7,6.52,tablet
NEW-0399,361.47,4.34,97.83,2,1,2,0,-1.51,100,16.85,6.23,capsule
NEW-0400,406.84,2.12,78.05,2,3,7,2,-3.7,100,39.71,6.35,tablet
NEW-0401,548.75,3.49,109.56,4,2,5,3,-5.34,25,56.59,6.63,capsule
NEW-0402,321.71,3.26,84.71,0,4,6,3,-3.63,100,10.62,7.56,tablet
NEW-0403,325.99,5.77,101.64,2,4,5,3,-4.5,10,19.07,7.5,solution
NEW-0404,235.99,2.05,90.52,3,3,3,2,-1.23,50,12.08,7.64,capsule
NEW-0405,379.05,1.97,97.59,4,3,8,1,-4.01,25,38.59,8.32,capsule
NEW-0406,487.45,2.29,73.51,1,4,2,5,-3.05,5,19.51,7.85,solution
NEW-0407,187.38,2.32,82.79,2,2,2,2,-5.5,50,32.46,5.62,capsule
NEW-0408,306.76,-1.59,65.51,3,3,5,2,-5.94,10,27.67,5.77,capsule
NEW-0409,383.95,1.34,96.15,3,2,3,1,-6.31,25,44.94,5.51,suspension
NEW-0410,473.51,3.04,27.89,1,0,3,3,-3.71,5,4.86,6.11,capsule
NEW-0411,422.12,2.49,100.41,1,5,6,1,-5.12,10,38.84,7.88,tablet
NEW-0412,415.8,1.06,109.93,4,3,3,3,-0.74,400,37.82,5.83,capsule
NEW-0413,355.33,1.3,100.96,1,3,5,2,-4.3,400,18.56,7.14,tablet
NEW-0414,433.01,1.86,71.36,1,6,7,2,-2.84,10,26.23,5.23,tablet
NEW-0415,491.57,1.06,92.68,2,2,3,1,-4.21,5,35.92,6.22,capsule
NEW-0416,192.01,1.58,47.82,3,3,3,2,-2.81,5,70.89,6.44,capsule
NEW-0417,460.14,1.53,104.3,4,8,9,3,-3.82,5,45.45,8.72,capsule
NEW-0418,369.14,4.11,36.53,4,5,3,1,-5.37,10,10.21,3.95,capsule
NEW-0419,321.7,4.33,95.78,2,6,9,1,-4.81,200,43.2,7.24,solution
NEW-0420,120.0,4.18,93.64,3,6,1,0,-3.64,100,39.64,8.08,tablet
NEW-0421,228.16,3.27,89.24,2,5,7,2,-5.24,400,8.45,5.41,solution
NEW-0422,566.79,1.23,59.35,2,5,11,1,-4.27,10,6.6,5.55,tablet
NEW-0423,304.26,4.23,101.61,3,2,8,2,-2.25,5,75.41,5.09,tablet
NEW-0424,260.68,1.93,10.7,0,2,4,2,-4.09,100,7.55,8.04,capsule
NEW-0425,329.79,2.54,102.2,2,4,2,3,-3.39,200,4.37,5.83,solution
NEW-0426,298.03,4.91,81.7,0,2,4,1,-3.86,25,2.06,8.33,capsule
NEW-0427,393.68,2.65,111.78,0,3,4,0,-5.12,400,16.42,7.9,suspension
NEW-0428,546.87,2.95,82.0,0,8,3,0,-5.54,10,22.24,7.22,tablet
NEW-0429,315.47,-0.04,139.34,2,5,4,1,-2.23,100,14.38,6.53,tablet
NEW-0430,396.97,3.38,42.04,4,6,3,3,-2.02,400,15.62,5.58,capsule
NEW-0431,253.8,0.74,96.33,3,2,3,1,-5.35,5,99.46,7.28,tablet
NEW-0432,547.22,4.32,43.99,2,3,5,2,-2.18,400,33.54,5.99,capsule
NEW-0433,400.79,2.17,70.58,0,5,5,3,-3.39,5,46.1,7.75,capsule
NEW-0434,261.0,-1.53,100.98,1,3,5,1,-2.79,25,21.08,5.62,solution
NEW-0435,479.47,1.86,96.89,4,5,5,1,-0.45,50,9.0,5.3,solution
NEW-0436,512.0,2.09,147.78,3,4,7,2,-6.61,100,92.69,7.11,tablet
NEW-0437,397.76,3.37,62.7,3,5,7,1,-4.2,5,13.49,5.54,capsule
NEW-0438,199.67,3.71,120.01,3,1,4,3,-3.05,50,48.61,4.48,capsule
NEW-0439,576.37,1.91,66.1,5,6,4,1,-2.22,5,31.64,6.29,capsule
NEW-0440,414.11,4.32,50.47,2,2,5,3,-5.13,10,16.23,8.3,tablet
NEW-0441,508.75,-2.0,18.2,0,4,4,1,-2.51,400,3.14,7.15,tablet
NEW-0442,319.4,1.21,80.69,2,7,3,3,-3.25,5,41.15,7.33,tablet
NEW-0443,336.15,0.5,56.75,2,4,9,2,-1.24,400,27.74,6.44,solution
NEW-0444,392.15,0.24,104.66,5,6,3,4,-4.34,25,17.81,5.06,tablet
NEW-0445,502.47,4.23,56.51,1,5,4,2,-2.47,50,24.32,9.0,capsule
NEW-0446,395.73,3.99,58.32,2,3,10,3,-3.54,10,2.18,8.0,tablet
NEW-0447,241.75,1.1,87.41,4,6,5,4,-4.8,10,15.48,5.8,capsule
NEW-0448,408.82,4.62,135.24,2,2,4,5,-4.52,200,46.48,8.49,tablet
NEW-0449,559.25,2.68,36.9,2,7,3,2,-4.53,10,78.27,6.8,capsule
NEW-0450,387.24,1.74,110.62,2,6,3,3,-3.68,100,15.42,6.87,capsule
NEW-0451,394.23,1.25,105.59,2,5,7,0,-3.21,400,28.03,6.56,tablet
NEW-0452,241.12,1.1,67.27,3,1,7,1,-4.33,10,4.21,5.87,capsule
NEW-0453,225.67,3.35,98.64,3,10,4,1,-2.15,400,30.78,6.73,capsule
NEW-0454,309.85,3.67,65.05,4,2,3,0,-3.97,10,28.83,5.6,capsule
NEW-0455,344.08,2.93,158.0,7,2,5,5,-1.68,10,41.45,4.13,capsule
NEW-0456,391.45,-1.19,71.08,0,1,4,0,-3.17,400,33.64,6.56,capsule
NEW-0457,398.26,3.03,77.81,1,1,5,1,-3.28,25,49.17,5.89,tablet
NEW-0458,556.21,3.52,63.6,3,1,4,2,-4.11,400,28.32,7.01,capsule
NEW-0459,386.46,1.3,15.73,2,5,4,2,-2.11,10,35.21,5.98,suspension
NEW-0460,497.09,2.58,65.79,4,5,6,2,-6.35,5,41.29,6.36,capsule
NEW-0461,375.67,-0.85,83.12,2,4,4,1,-2.72,25,73.19,9.0,tablet
NEW-0462,539.38,0.29,127.53,0,4,6,0,-2.4,400,12.06,7.54,tablet
NEW-0463,174.26,1.92,92.22,3,3,3,1,-2.2,50,7.32,8.35,capsule
NEW-0464,314.14,1.94,68.37,2,5,11,1,-3.22,100,8.7,6.07,solution
NEW-0465,488.13,3.13,77.1,2,4,6,3,0.0,100,44.94,6.53,capsule
NEW-0466,361.12,0.36,86.46,4,3,3,3,-3.25,100,47.94,5.57,tablet
NEW-0467,482.47,1.89,61.74,2,1,4,1,-6.45,400,48.9,7.24,solution
NEW-0468,422.36,1.62,98.88,2,5,9,3,-3.5,100,76.63,5.73,tablet
NEW-0469,484.05,3.45,131.88,4,4,5,1,-3.19,5,81.0,8.1,solution
NEW-0470,447.44,5.06,62.29,0,5,4,0,-4.69,400,40.01,9.0,capsule
NEW-0471,454.1,5.6,117.26,2,6,7,2,-1.06,400,37.86,5.9,capsule
NEW-0472,544.17,-0.32,105.67,0,6,0,2,-3.91,200,45.79,6.63,capsule
NEW-0473,488.51,2.41,93.8,4,5,6,4,-5.05,50,66.16,6.36,solution
NEW-0474,489.32,0.5,78.92,2,7,7,4,-3.24,100,46.15,7.72,tablet
NEW-0475,382.25,2.38,86.82,2,4,3,5,-3.26,10,3.23,6.64,suspension
NEW-0476,316.0,3.26,67.39,5,3,7,2,-2.77,400,18.7,8.9,solution
NEW-0477,307.45,2.65,139.29,2,1,5,0,-7.46,100,25.3,6.7,solution
NEW-0478,462.6,2.41,49.86,3,4,5,2,-4.73,100,19.33,4.92,tablet
NEW-0479,120.0,5.17,114.72,3,5,6,1,-2.92,100,15.42,6.81,tablet
NEW-0480,236.21,3.8,129.24,2,4,4,1,-1.76,5,26.64,5.77,capsule
NEW-0481,274.04,2.01,63.69,2,5,3,3,-3.05,100,5.8,5.23,solution
NEW-0482,352.76,2.54,115.8,3,7,4,1,-4.7,50,63.17,6.66,solution
NEW-0483,120.0,4.07,80.04,1,3,2,1,-3.72,5,7.7,7.18,tablet
NEW-0484,518.46,3.6,77.18,2,0,3,2,-2.06,5,36.64,6.81,suspension
NEW-0485,446.02,1.73,72.39,2,5,7,5,-2.35,100,7.71,4.85,capsule
NEW-0486,598.3,-0.7,18.52,0,2,4,1,-2.4,5,48.3,5.79,capsule
NEW-0487,496.84,0.37,94.18,4,6,12,0,-1.51,25,21.77,6.97,capsule
NEW-0488,493.34,2.76,125.52,2,3,3,3,-1.19,50,12.44,5.93,capsule
NEW-0489,627.57,-0.72,50.33,1,3,8,1,-5.2,5,39.08,8.46,capsule
NEW-0490,317.19,2.23,104.66,0,4,5,3,-4.5,5,14.72,6.95,tablet
NEW-0491,214.62,1.68,72.02,2,1,8,1,-1.58,100,26.64,4.32,tablet
NEW-0492,354.44,4.3,36.76,3,6,5,4,-5.82,25,36.3,6.52,tablet
NEW-0493,289.25,0.13,109.93,4,3,7,1,-2.02,10,56.9,5.67,tablet
NEW-0494,351.75,-0.98,134.01,1,5,3,1,-5.74,25,4.87,6.61,suspension
NEW-0495,264.48,1.74,47.2,1,6,7,0,-1.8,200,57.7,7.51,capsule
NEW-0496,442.47,3.64,82.55,0,1,4,2,-3.32,200,18.52,4.23,suspension
NEW-0497,436.43,4.43,24.61,1,4,8,3,-3.25,100,21.72,5.16,tablet
NEW-0498,377.04,0.86,73.53,5,5,2,3,-2.93,400,21.74,6.01,tablet
NEW-0499,414.27,3.35,92.01,3,3,4,2,-4.89,200,4.79,7.11,capsule
NEW-0500,364.37,0.5,136.35,4,2,4,1,-1.5,100,25.9,8.22,capsule
